date,area_type,area_code,area_name,metric,metric_name,value
2020-06-01,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1319.0
2020-06-01,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,64.0
2020-06-01,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,18.0
2020-06-01,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,38.0
2020-06-02,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,71.0
2020-06-02,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-06-02,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1365.0
2020-06-02,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,46.0
2020-06-03,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,34.0
2020-06-03,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,10.0
2020-06-03,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1251.0
2020-06-03,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,74.0
2020-06-04,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-06-04,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,59.0
2020-06-04,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1147.0
2020-06-04,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,35.0
2020-06-05,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-06-05,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,24.0
2020-06-05,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,1020.0
2020-06-05,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,55.0
2020-06-06,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,723.0
2020-06-06,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,8.0
2020-06-06,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,22.0
2020-06-06,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,51.0
2020-06-07,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,34.0
2020-06-07,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-06-07,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3.0
2020-06-07,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,668.0
2020-06-08,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,990.0
2020-06-08,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,17.0
2020-06-08,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,18.0
2020-06-08,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,74.0
