week,ac_week,season,ili,inf_A,inf_B,inf_all,inf_neg,inf_H3N2,inf_H1N1,inf_A_ns,num_spec,pn,pn_lb,pn_ub,pp,pp_lb,pp_ub,pA,pA_lb,pA_ub,pB,pB_lb,pB_ub,pH3,pH3_lb,pH3_ub,pH1,pH1_lb,pH1_ub
29/8/2011,1,1,204,93,26,119,0,32,61,0,928,0.871767241,0.848138025,0.892254863,0.128232759,0.107745137,0.151861975,0.100215517,0.082022204,0.121796404,0.028017241,0.018751186,0.041368574,0.034571102,0.023885264,0.046768914,0.065971664,0.050685907,0.082448871
5/9/2011,1,1,192,101,29,130,0,51,47,3,850,0.847058824,0.820681342,0.870237859,0.152941176,0.129762141,0.179318658,0.118823529,0.098227312,0.142941848,0.034117647,0.023372616,0.049253409,0.061684268,0.045677208,0.078856799,0.056693761,0.041224852,0.074181241
12/9/2011,1,1,167,91,22,113,0,41,46,4,809,0.860321384,0.834067963,0.883081389,0.139678616,0.116918611,0.165932037,0.112484549,0.091954533,0.136780693,0.027194067,0.017532212,0.041565948,0.053598137,0.039305185,0.069872326,0.05951491,0.042745173,0.075598845
19/9/2011,1,1,186,101,13,114,0,40,57,4,823,0.861482382,0.835549721,0.883970143,0.138517618,0.116029857,0.164450279,0.12272175,0.101483735,0.147559889,0.015795869,0.008805597,0.027594835,0.050756907,0.036628116,0.064956092,0.072782639,0.055348503,0.090280317
26/9/2011,1,1,186,87,19,106,0,35,47,5,786,0.865139949,0.838796778,0.887837218,0.134860051,0.112162782,0.161203222,0.110687023,0.09004003,0.135230083,0.024173028,0.015030663,0.038211241,0.047695623,0.033809468,0.063462756,0.063482424,0.046683742,0.080411754
3/10/2011,1,1,139,68,9,77,0,48,20,0,684,0.887426901,0.860750822,0.909642953,0.112573099,0.090357047,0.139249178,0.099415205,0.078525321,0.124924194,0.013157895,0.006434737,0.025761219,0.069753828,0.054325104,0.090392293,0.02926626,0.017524414,0.043231405
27/8/2012,1,1,359,153,97,250,0,148,4,1,936,0.732905983,0.703101772,0.76077047,0.267094017,0.23922953,0.296898228,0.163461538,0.140654736,0.189081244,0.103632479,0.085211981,0.125381321,0.15960157,0.135952368,0.184761936,0.004360056,0.001217483,0.008737211
3/9/2012,1,1,255,89,50,139,0,88,1,0,952,0.853991597,0.82958183,0.875489674,0.146008403,0.124510326,0.17041817,0.093487395,0.076116889,0.114217646,0.052521008,0.03960673,0.069164041,0.091736718,0.07584046,0.110104848,0.001075314,3.12816778927436e-05,0.004387309
10/9/2012,1,1,198,63,46,109,0,61,2,0,816,0.866421569,0.840699688,0.888619945,0.133578431,0.111380055,0.159300312,0.077205882,0.060264945,0.098240401,0.056372549,0.041997311,0.075064345,0.074330602,0.056124743,0.094854844,0.002449909,0.000335434,0.006655381
17/9/2012,1,1,195,44,28,72,0,43,0,1,580,0.875862069,0.84559318,0.901027199,0.124137931,0.098972801,0.15440682,0.075862069,0.056249158,0.10127702,0.048275862,0.032897608,0.069887085,0.075631365,0.055715429,0.098634907,0,0,0
