date,area_type,area_code,area_name,metric,metric_name,value
2022-01-01,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,6224.0
2022-01-01,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,5385.0
2022-01-01,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,99303.0
2022-01-01,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7363.0
2022-01-02,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,148609.0
2022-01-02,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,15692.0
2022-01-02,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,9855.0
2022-01-02,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,6912.0
2022-01-03,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,7309.0
2022-01-03,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,193617.0
2022-01-03,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,9457.0
2022-01-03,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,19518.0
2022-01-04,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,234873.0
2022-01-04,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,8470.0
2022-01-04,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,19852.0
2022-01-04,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,12452.0
2022-01-05,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,8991.0
2022-01-05,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,22566.0
2022-01-05,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,6819.0
2022-01-05,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,183798.0
2022-01-06,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,13902.0
2022-01-06,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,150786.0
2022-01-06,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,4714.0
2022-01-06,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3578.0
2022-01-07,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,9132.0
2022-01-07,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,3367.0
2022-01-07,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,105080.0
2022-01-07,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2708.0
2022-01-08,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2465.0
2022-01-08,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,81221.0
2022-01-08,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2637.0
2022-01-08,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7292.0
2022-01-09,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7691.0
2022-01-09,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,83081.0
2022-01-09,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2180.0
2022-01-09,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2838.0
2022-01-10,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,3596.0
2022-01-10,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,9406.0
2022-01-10,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,116343.0
2022-01-10,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3614.0
2022-01-11,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8301.0
2022-01-11,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3232.0
2022-01-11,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,100979.0
2022-01-11,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2733.0
2022-01-12,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,90000.0
2022-01-12,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7683.0
2022-01-12,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3130.0
2022-01-12,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2406.0
2022-01-13,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2890.0
2022-01-13,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2100.0
2022-01-13,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,84132.0
2022-01-13,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7290.0
2022-01-14,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2692.0
2022-01-14,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,75174.0
2022-01-14,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1945.0
2022-01-14,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6514.0
2022-01-15,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,67821.0
2022-01-15,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,5804.0
2022-01-15,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1483.0
2022-01-15,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2842.0
2022-01-16,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3620.0
2022-01-16,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7095.0
2022-01-16,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,85599.0
2022-01-16,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1783.0
2022-01-17,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,9173.0
2022-01-17,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,114776.0
2022-01-17,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4607.0
2022-01-17,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2958.0
2022-01-18,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8548.0
2022-01-18,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4398.0
2022-01-18,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2603.0
2022-01-18,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,103308.0
2022-01-19,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7904.0
2022-01-19,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,97335.0
2022-01-19,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4037.0
2022-01-19,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2484.0
2022-01-20,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2437.0
2022-01-20,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7088.0
2022-01-20,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3848.0
2022-01-20,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,86951.0
2022-01-21,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6659.0
2022-01-21,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2351.0
2022-01-21,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3548.0
2022-01-21,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,79172.0
2022-01-22,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3266.0
2022-01-22,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1867.0
2022-01-22,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6117.0
2022-01-22,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,70483.0
2022-01-23,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7360.0
2022-01-23,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,88558.0
2022-01-23,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2047.0
2022-01-23,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4400.0
2022-01-24,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,109233.0
2022-01-24,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,5338.0
2022-01-24,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,9493.0
2022-01-24,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,3300.0
2022-01-25,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8454.0
2022-01-25,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4849.0
2022-01-25,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,96955.0
2022-01-25,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2944.0
2022-01-26,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4347.0
2022-01-26,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8184.0
2022-01-26,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2926.0
2022-01-26,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,93211.0
2022-01-27,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3905.0
2022-01-27,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,82726.0
2022-01-27,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2461.0
2022-01-27,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7109.0
2022-01-28,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3607.0
2022-01-28,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6597.0
2022-01-28,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2140.0
2022-01-28,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,71682.0
2022-01-29,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3414.0
2022-01-29,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1582.0
2022-01-29,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,5492.0
2022-01-29,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,63024.0
2022-01-30,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,74980.0
2022-01-30,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6958.0
2022-01-30,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4220.0
2022-01-30,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1544.0
2022-01-31,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8930.0
2022-01-31,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2648.0
2022-01-31,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,88502.0
2022-01-31,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4971.0
2022-02-01,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2457.0
2022-02-01,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8413.0
2022-02-01,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,78511.0
2022-02-01,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4568.0
2022-02-02,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4261.0
2022-02-02,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,73908.0
2022-02-02,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,2276.0
2022-02-02,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7973.0
2022-02-03,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3662.0
2022-02-03,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1770.0
2022-02-03,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,64032.0
2022-02-03,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7180.0
2022-02-04,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3075.0
2022-02-04,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1661.0
2022-02-04,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,52556.0
2022-02-04,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,5972.0
2022-02-05,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,43233.0
2022-02-05,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2689.0
2022-02-05,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,5288.0
2022-02-05,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1095.0
2022-02-06,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6064.0
2022-02-06,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,50148.0
2022-02-06,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3193.0
2022-02-06,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1147.0
2022-02-07,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,62672.0
2022-02-07,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7783.0
2022-02-07,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1953.0
2022-02-07,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,4075.0
2022-02-08,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3837.0
2022-02-08,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,55437.0
2022-02-08,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8572.0
2022-02-08,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1815.0
2022-02-09,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,8218.0
2022-02-09,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,3459.0
2022-02-09,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1649.0
2022-02-09,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,51013.0
2022-02-10,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2813.0
2022-02-10,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1380.0
2022-02-10,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,41331.0
2022-02-10,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6769.0
2022-02-11,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,34944.0
2022-02-11,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6107.0
2022-02-11,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2437.0
2022-02-11,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,1071.0
2022-02-12,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,792.0
2022-02-12,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,29142.0
2022-02-12,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2183.0
2022-02-12,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,5412.0
2022-02-13,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,6064.0
2022-02-13,nation,W92000004,Wales,newCasesBySpecimenDate,New cases by specimen date,855.0
2022-02-13,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,32326.0
2022-02-13,nation,N92000002,Northern Ireland,newCasesBySpecimenDate,New cases by specimen date,2510.0
2022-02-14,nation,S92000003,Scotland,newCasesBySpecimenDate,New cases by specimen date,7806.0
2022-02-14,nation,E92000001,England,newCasesBySpecimenDate,New cases by specimen date,42490.0
